Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
MANEJO_SOLICITUDES/DATA_HANDLE_FSM_V2_0/Primitives,22,110,0,0,0,0,0,0,4,0,0,0,0,0,0
MANEJO_SOLICITUDES/UART_IF_FSM_0/Primitives,304,269,0,0,0,0,0,0,0,0,0,0,0,0,0
Primitives/Primitives,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
REDUNDANCIA/COMPARADOR_0/Primitives,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REDUNDANCIA/TPSRAM_C1_0/TPSRAM_C1_0/Primitives,0,0,144,144,0,0,4,0,0,0,0,0,0,0,0
REDUNDANCIA/TPSRAM_C2_0/TPSRAM_C2_0/Primitives,0,0,144,144,0,0,4,0,0,0,0,0,0,0,0
REDUNDANCIA/TPSRAM_C3_0/TPSRAM_C3_0/Primitives,0,0,144,144,0,0,4,0,0,0,0,0,0,0,0
SIMPLE_READ/MEM_FI_0/Primitives,0,0,144,144,0,0,4,0,0,0,0,0,0,0,0
WR_MDDR/AXI_IF_0/Primitives,47,155,0,0,0,0,0,0,0,0,0,0,0,0,0
WR_MDDR/MDDR_Demo_sb_sb_0/CCC_0/Primitives,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
WR_MDDR/MDDR_Demo_sb_sb_0/CORECONFIGP_0/Primitives,58,74,0,0,0,0,0,0,0,0,0,0,0,0,0
WR_MDDR/MDDR_Demo_sb_sb_0/CORERESETP_0/Primitives,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0
WR_MDDR/MDDR_Demo_sb_sb_0/CoreAPB3_0/Primitives,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WR_MDDR/MDDR_Demo_sb_sb_0/CoreAPB3_0/u_mux_p_to_b3/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WR_MDDR/MDDR_Demo_sb_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
WR_MDDR/MDDR_Demo_sb_sb_0/MDDR_Demo_sb_sb_MSS_0/Primitives,1,0,0,0,37,2,0,0,1,1,0,0,0,0,0
