SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,UART_IF_0.UART_IF_FSM_0.Next_Address,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_start_axi,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
2,UART_IF_0.UART_IF_FSM_0.Next_Address,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_8_11|un1_paddr_1_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
3,UART_IF_0.UART_IF_FSM_0.sg_option[7:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_start_axi,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
4,UART_IF_0.UART_IF_FSM_0.sg_option[7:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_8_11|un1_paddr_1_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
5,UART_IF_0.UART_IF_FSM_0.sg_DATA_IN[63:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_start_axi,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
6,UART_IF_0.UART_IF_FSM_0.sg_DATA_IN[63:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_8_11|un1_paddr_1_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
7,UART_IF_0.UART_IF_FSM_0.limit_cnt[0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
8,UART_IF_0.UART_IF_FSM_0.limit_cnt[4],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
9,UART_IF_0.UART_IF_FSM_0.TPSRAM_WADDR[7:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
10,UART_IF_0.UART_IF_FSM_0.fsm[0:13],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
